first_line,text,len,note,text_raw,len_raw
"  It was too late for man,","  It was too late for man,
  
  But early yet for God;
  
  Creation impotent to help,
  
  But prayer remained our side.
  

  How excellent the heaven,
  
  When earth cannot be had;
  
  How hospitable, then, the face
  
  Of our old neighbor, God!",251,,it was too late for man but early yet for god creation impotent to help but prayer remained our side how excellent the heaven when earth cannot be had how hospitable then the face of our old neighbor god,203
"  When I was small, a woman died.","  When I was small, a woman died.
  
  To-day her only boy
  
  Went up from the Potomac,
  
  His face all victory,
  

  To look at her; how slowly
  
  The seasons must have turned
  
  Till bullets clipt an angle,
  
  And he passed quickly round!
  

  If pride shall be in Paradise
  
  I never can decide;
  
  Of their imperial conduct,
  
  No person testified.
  

  But proud in apparition,
  
  That woman and her boy
  
  Pass back and forth before my brain,
  
  As ever in the sky.",496,,when i was small a woman died today her only boy went up from the potomac his face all victory to look at her how slowly the seasons must have turned till bullets clipt an angle and he passed quickly round if pride shall be in paradise i never can decide of their imperial conduct no person testified but proud in apparition that woman and her boy pass back and forth before my brain as ever in the sky,402
"  The daisy follows soft the sun,","  The daisy follows soft the sun,
  
  And when his golden walk is done,
  
  Sits shyly at his feet.
  
  He, waking, finds the flower near.
  
  ""Wherefore, marauder, art thou here?""
  
  ""Because, sir, love is sweet!""
  

  We are the flower, Thou the sun!
  
  Forgive us, if as days decline,
  
  We nearer steal to Thee, —
  
  Enamoured of the parting west,
  
  The peace, the flight, the amethyst,
  
  Night's possibility!",432,,the daisy follows soft the sun and when his golden walk is done sits shyly at his feet he waking finds the flower near wherefore marauder art thou here because sir love is sweet we are the flower thou the sun forgive us if as days decline we nearer steal to thee enamoured of the parting west the peace the flight the amethyst nights possibility,345
"  No rack can torture me,","  No rack can torture me,
  
  My soul's at liberty
  
  Behind this mortal bone
  
  There knits a bolder one
  

  You cannot prick with saw,
  
  Nor rend with scymitar.
  
  Two bodies therefore be;
  
  Bind one, and one will flee.
  

  The eagle of his nest
  
  No easier divest
  
  And gain the sky,
  
  Than mayest thou,
  

  Except thyself may be
  
  Thine enemy;
  
  Captivity is consciousness,
  
  So's liberty.",430,,no rack can torture me my souls at liberty behind this mortal bone there knits a bolder one you cannot prick with saw nor rend with scymitar two bodies therefore be bind one and one will flee the eagle of his nest no easier divest and gain the sky than mayest thou except thyself may be thine enemy captivity is consciousness sos liberty,337
  I lost a world the other day.,"  I lost a world the other day.
  
  Has anybody found?
  
  You'll know it by the row of stars
  
  Around its forehead bound.
  

  A rich man might not notice it;
  
  Yet to my frugal eye
  
  Of more esteem than ducats.
  
  Oh, find it, sir, for me!",255,,i lost a world the other day has anybody found youll know it by the row of stars around its forehead bound a rich man might not notice it yet to my frugal eye of more esteem than ducats oh find it sir for me,207
  If I shouldn't be alive,"  If I shouldn't be alive
  
  When the robins come,
  
  Give the one in red cravat
  
  A memorial crumb.
  

  If I couldn't thank you,
  
  Being just asleep,
  
  You will know I'm trying
  
  With my granite lip!",218,,if i shouldnt be alive when the robins come give the one in red cravat a memorial crumb if i couldnt thank you being just asleep you will know im trying with my granite lip,172
"  Sleep is supposed to be,","  Sleep is supposed to be,
  
  By souls of sanity,
  
  The shutting of the eye.
  

  Sleep is the station grand
  
  Down which on either hand
  
  The hosts of witness stand!
  

  Morn is supposed to be,
  
  By people of degree,
  
  The breaking of the day.
  

  Morning has not occurred!
  
  That shall aurora be
  
  East of eternity;
  

  One with the banner gay,
  
  One in the red array, —
  
  That is the break of day.",436,,sleep is supposed to be by souls of sanity the shutting of the eye sleep is the station grand down which on either hand the hosts of witness stand morn is supposed to be by people of degree the breaking of the day morning has not occurred that shall aurora be east of eternity one with the banner gay one in the red array that is the break of day,346
"  I shall know why, when time is over,","  I shall know why, when time is over,
  
  And I have ceased to wonder why;
  
  Christ will explain each separate anguish
  
  In the fair schoolroom of the sky.
  

  He will tell me what Peter promised,
  
  And I, for wonder at his woe,
  
  I shall forget the drop of anguish
  
  That scalds me now, that scalds me now.",326,,i shall know why when time is over and i have ceased to wonder why christ will explain each separate anguish in the fair schoolroom of the sky he will tell me what peter promised and i for wonder at his woe i shall forget the drop of anguish that scalds me now that scalds me now,279
"I never lost as much but twice,","I never lost as much but twice,

And that was in the sod;

Twice have I stood a beggar

Before the door of God!


Angels, twice descending,

Reimbursed my store.

Burglar, banker, father,

I am poor once more!",209,,i never lost as much but twice and that was in the sod twice have i stood a beggar before the door of god angels twice descending reimbursed my store burglar banker father i am poor once more,191
My nosegays are for captives;,"My nosegays are for captives;
 
 Dim, long-expectant eyes,
 
 Fingers denied the plucking,
 
 Patient till paradise,
 

 To such, if they should whisper
 
 Of morning and the moor,
 
 They bear no other errand,
 
 And I, no other prayer.",237,,my nosegays are for captives dim longexpectant eyes fingers denied the plucking patient till paradise to such if they should whisper of morning and the moor they bear no other errand and i no other prayer,204
  I'm nobody!  Who are you?,"  I'm nobody!  Who are you?
  
  Are you nobody, too?
  
  Then there 's a pair of us — don't tell!
  
  They 'd banish us, you know.
  

  How dreary to be somebody!
  
  How public, like a frog
  
  To tell your name the livelong day
  
  To an admiring bog!",260,,im nobody who are you are you nobody too then there s a pair of us dont tell they d banish us you know how dreary to be somebody how public like a frog to tell your name the livelong day to an admiring bog,205
  I bring an unaccustomed wine,"  I bring an unaccustomed wine
  
  To lips long parching, next to mine,
  
  And summon them to drink.
  

  Crackling with fever, they essay;
  
  I turn my brimming eyes away,
  
  And come next hour to look.
  

  The hands still hug the tardy glass;
  
  The lips I would have cooled, alas!
  
  Are so superfluous cold,
  

  I would as soon attempt to warm
  
  The bosoms where the frost has lain
  
  Ages beneath the mould.
  

  Some other thirsty there may be
  
  To whom this would have pointed me
  
  Had it remained to speak.
  

  And so I always bear the cup
  
  If, haply, mine may be the drop
  
  Some pilgrim thirst to slake, —
  

  If, haply, any say to me,
  
  ""Unto the little, unto me,""
  
  When I at last awake.",743,,i bring an unaccustomed wine to lips long parching next to mine and summon them to drink crackling with fever they essay i turn my brimming eyes away and come next hour to look the hands still hug the tardy glass the lips i would have cooled alas are so superfluous cold i would as soon attempt to warm the bosoms where the frost has lain ages beneath the mould some other thirsty there may be to whom this would have pointed me had it remained to speak and so i always bear the cup if haply mine may be the drop some pilgrim thirst to slake if haply any say to me unto the little unto me when i at last awake,609
"  The nearest dream recedes, unrealized.","  The nearest dream recedes, unrealized.
  
  The heaven we chase
  
  Like the June bee
  
  Before the school-boy
  
  Invites the race;
  
  Stoops to an easy clover —
  
  Dips — evades — teases — deploys;
  
  Then to the royal clouds
  
  Lifts his light pinnace
  
  Heedless of the boy
  
  Staring, bewildered, at the mocking sky.
  

  Homesick for steadfast honey,
  
  Ah! the bee flies not
  
  That brews that rare variety.",437,,the nearest dream recedes unrealized the heaven we chase like the june bee before the schoolboy invites the race stoops to an easy clover dips evades teases deploys then to the royal clouds lifts his light pinnace heedless of the boy staring bewildered at the mocking sky homesick for steadfast honey ah the bee flies not that brews that rare variety,350
"  We play at paste,","  We play at paste,
  
  Till qualified for pearl,
  
  Then drop the paste,
  
  And deem ourself a fool.
  
  The shapes, though, were similar,
  
  And our new hands
  
  Learned gem-tactics
  
  Practising sands.",216,,we play at paste till qualified for pearl then drop the paste and deem ourself a fool the shapes though were similar and our new hands learned gemtactics practising sands,170
  I found the phrase to every thought,"  I found the phrase to every thought
  
  I ever had, but one;
  
  And that defies me, — as a hand
  
  Did try to chalk the sun
  

  To races nurtured in the dark; —
  
  How would your own begin?
  
  Can blaze be done in cochineal,
  
  Or noon in mazarin?",262,,i found the phrase to every thought i ever had but one and that defies me as a hand did try to chalk the sun to races nurtured in the dark how would your own begin can blaze be done in cochineal or noon in mazarin,213
  Hope is the thing with feathers,"  Hope is the thing with feathers
  
  That perches in the soul,
  
  And sings the tune without the words,
  
  And never stops at all,
  

  And sweetest in the gale is heard;
  
  And sore must be the storm
  
  That could abash the little bird
  
  That kept so many warm.
  

  I 've heard it in the chillest land,
  
  And on the strangest sea;
  
  Yet, never, in extremity,
  
  It asked a crumb of me.",410,,hope is the thing with feathers that perches in the soul and sings the tune without the words and never stops at all and sweetest in the gale is heard and sore must be the storm that could abash the little bird that kept so many warm i ve heard it in the chillest land and on the strangest sea yet never in extremity it asked a crumb of me,339
  Dare you see a soul at the white heat?,"  Dare you see a soul at the white heat?
  
  Then crouch within the door.
  
  Red is the fire's common tint;
  
  But when the vivid ore
  

  Has sated flame's conditions,
  
  Its quivering substance plays
  
  Without a color but the light
  
  Of unanointed blaze.
  

  Least village boasts its blacksmith,
  
  Whose anvil's even din
  
  Stands symbol for the finer forge
  
  That soundless tugs within,
  

  Refining these impatient ores
  
  With hammer and with blaze,
  
  Until the designated light
  
  Repudiate the forge.",540,,dare you see a soul at the white heat then crouch within the door red is the fires common tint but when the vivid ore has sated flames conditions its quivering substance plays without a color but the light of unanointed blaze least village boasts its blacksmith whose anvils even din stands symbol for the finer forge that soundless tugs within refining these impatient ores with hammer and with blaze until the designated light repudiate the forge,448
"  Who never lost, are unprepared","  Who never lost, are unprepared
  
  A coronet to find;
  
  Who never thirsted, flagons
  
  And cooling tamarind.
  

  Who never climbed the weary league —
  
  Can such a foot explore
  
  The purple territories
  
  On Pizarro's shore?
  

  How many legions overcome?
  
  The emperor will say.
  
  How many colors taken
  
  On Revolution Day?
  

  How many bullets bearest?
  
  The royal scar hast thou?
  
  Angels, write ""Promoted""
  
  On this soldier's brow!",474,,who never lost are unprepared a coronet to find who never thirsted flagons and cooling tamarind who never climbed the weary league can such a foot explore the purple territories on pizarros shore how many legions overcome the emperor will say how many colors taken on revolution day how many bullets bearest the royal scar hast thou angels write promoted on this soldiers brow,376
"  I can wade grief,","  I can wade grief,
  
  Whole pools of it, —
  
  I 'm used to that.
  
  But the least push of joy
  
  Breaks up my feet,
  
  And I tip — drunken.
  
  Let no pebble smile,
  
  'T was the new liquor, —
  
  That was all!
  

  Power is only pain,
  
  Stranded, through discipline,
  
  Till weights will hang.
  
  Give balm to giants,
  
  And they 'll wilt, like men.
  
  Give Himmaleh, —
  
  They 'll carry him!",422,,i can wade grief whole pools of it i m used to that but the least push of joy breaks up my feet and i tip drunken let no pebble smile t was the new liquor that was all power is only pain stranded through discipline till weights will hang give balm to giants and they ll wilt like men give himmaleh they ll carry him,315
"  I never hear the word ""escape""","  I never hear the word ""escape""
  
  Without a quicker blood,
  
  A sudden expectation,
  
  A flying attitude.
  

  I never hear of prisons broad
  
  By soldiers battered down,
  
  But I tug childish at my bars, —
  
  Only to fail again!",244,,i never hear the word escape without a quicker blood a sudden expectation a flying attitude i never hear of prisons broad by soldiers battered down but i tug childish at my bars only to fail again,196
  For each ecstatic instant,"  For each ecstatic instant
  
  We must an anguish pay
  
  In keen and quivering ratio
  
  To the ecstasy.
  

  For each beloved hour
  
  Sharp pittances of years,
  
  Bitter contested farthings
  
  And coffers heaped with tears.",236,,for each ecstatic instant we must an anguish pay in keen and quivering ratio to the ecstasy for each beloved hour sharp pittances of years bitter contested farthings and coffers heaped with tears,195
  Through the straight pass of suffering,"  Through the straight pass of suffering
  
  The martyrs even trod,
  
  Their feet upon temptation,
  
  Their faces upon God.
  

  A stately, shriven company;
  
  Convulsion playing round,
  
  Harmless as streaks of meteor
  
  Upon a planet's bound.
  

  Their faith the everlasting troth;
  
  Their expectation fair;
  
  The needle to the north degree
  
  Wades so, through polar air.",396,,through the straight pass of suffering the martyrs even trod their feet upon temptation their faces upon god a stately shriven company convulsion playing round harmless as streaks of meteor upon a planets bound their faith the everlasting troth their expectation fair the needle to the north degree wades so through polar air,325
"  I meant to have but modest needs,","  I meant to have but modest needs,
  
  Such as content, and heaven;
  
  Within my income these could lie,
  
  And life and I keep even.
  

  But since the last included both,
  
  It would suffice my prayer
  
  But just for one to stipulate,
  
  And grace would grant the pair.
  

  And so, upon this wise I prayed, —
  
  Great Spirit, give to me
  
  A heaven not so large as yours,
  
  But large enough for me.
  

  A smile suffused Jehovah's face;
  
  The cherubim withdrew;
  
  Grave saints stole out to look at me,
  
  And showed their dimples, too.
  

  I left the place with all my might, —
  
  My prayer away I threw;
  
  The quiet ages picked it up,
  
  And Judgment twinkled, too,
  

  That one so honest be extant
  
  As take the tale for true
  
  That ""Whatsoever you shall ask,
  
  Itself be given you.""
  

  But I, grown shrewder, scan the skies
  
  With a suspicious air, —
  
  As children, swindled for the first,
  
  All swindlers be, infer.",984,,i meant to have but modest needs such as content and heaven within my income these could lie and life and i keep even but since the last included both it would suffice my prayer but just for one to stipulate and grace would grant the pair and so upon this wise i prayed great spirit give to me a heaven not so large as yours but large enough for me a smile suffused jehovahs face the cherubim withdrew grave saints stole out to look at me and showed their dimples too i left the place with all my might my prayer away i threw the quiet ages picked it up and judgment twinkled too that one so honest be extant as take the tale for true that whatsoever you shall ask itself be given you but i grown shrewder scan the skies with a suspicious air as children swindled for the first all swindlers be infer,800
  The thought beneath so slight a film,"  The thought beneath so slight a film
  
  Is more distinctly seen, —
  
  As laces just reveal the surge,
  
  Or mists the Apennine.",135,,the thought beneath so slight a film is more distinctly seen as laces just reveal the surge or mists the apennine,113
  The soul unto itself,"  The soul unto itself
  
  Is an imperial friend, —
  
  Or the most agonizing spy
  
  An enemy could send.
  

  Secure against its own,
  
  No treason it can fear;
  
  Itself its sovereign, of itself
  
  The soul should stand in awe.",240,,the soul unto itself is an imperial friend or the most agonizing spy an enemy could send secure against its own no treason it can fear itself its sovereign of itself the soul should stand in awe,194
  Surgeons must be very careful,"  Surgeons must be very careful
  
  When they take the knife!
  
  Underneath their fine incisions
  
  Stirs the culprit, — Life!",131,,surgeons must be very careful when they take the knife underneath their fine incisions stirs the culprit life,109
"  I like to see it lap the miles,","  I like to see it lap the miles,
  
  And lick the valleys up,
  
  And stop to feed itself at tanks;
  
  And then, prodigious, step
  

  Around a pile of mountains,
  
  And, supercilious, peer
  
  In shanties by the sides of roads;
  
  And then a quarry pare
  

  To fit its sides, and crawl between,
  
  Complaining all the while
  
  In horrid, hooting stanza;
  
  Then chase itself down hill
  

  And neigh like Boanerges;
  
  Then, punctual as a star,
  
  Stop — docile and omnipotent —
  
  At its own stable door.",532,,i like to see it lap the miles and lick the valleys up and stop to feed itself at tanks and then prodigious step around a pile of mountains and supercilious peer in shanties by the sides of roads and then a quarry pare to fit its sides and crawl between complaining all the while in horrid hooting stanza then chase itself down hill and neigh like boanerges then punctual as a star stop docile and omnipotent at its own stable door,431
"  The show is not the show,","  The show is not the show,
  
  But they that go.
  
  Menagerie to me
  
  My neighbor be.
  
  Fair play —
  
  Both went to see.",132,,the show is not the show but they that go menagerie to me my neighbor be fair play both went to see,99
  Delight becomes pictorial,"  Delight becomes pictorial
  
  When viewed through pain, —
  
  More fair, because impossible
  
  That any gain.
  

  The mountain at a given distance
  
  In amber lies;
  
  Approached, the amber flits a little, —
  
  And that 's the skies!",247,,delight becomes pictorial when viewed through pain more fair because impossible that any gain the mountain at a given distance in amber lies approached the amber flits a little and that s the skies,197
  A thought went up my mind to-day,"  A thought went up my mind to-day
  
  That I have had before,
  
  But did not finish, — some way back,
  
  I could not fix the year,
  

  Nor where it went, nor why it came
  
  The second time to me,
  
  Nor definitely what it was,
  
  Have I the art to say.
  

  But somewhere in my soul, I know
  
  I 've met the thing before;
  
  It just reminded me — 't was all —
  
  And came my way no more.",408,,a thought went up my mind today that i have had before but did not finish some way back i could not fix the year nor where it went nor why it came the second time to me nor definitely what it was have i the art to say but somewhere in my soul i know i ve met the thing before it just reminded me t was all and came my way no more,329
  Is Heaven a physician?,"  Is Heaven a physician?
  
  They say that He can heal,
  
  But medicine posthumous
  
  Is unavailable.
  

  Is Heaven an exchequer?
  
  They speak of what we owe;
  
  But that negotiation
  
  I 'm not a party to.",220,,is heaven a physician they say that he can heal but medicine posthumous is unavailable is heaven an exchequer they speak of what we owe but that negotiation i m not a party to,175
"  Though I get home how late, how late!","  Though I get home how late, how late!
  
  So I get home, 't will compensate.
  
  Better will be the ecstasy
  
  That they have done expecting me,
  
  When, night descending, dumb and dark,
  
  They hear my unexpected knock.
  
  Transporting must the moment be,
  
  Brewed from decades of agony!
  

  To think just how the fire will burn,
  
  Just how long-cheated eyes will turn
  
  To wonder what myself will say,
  
  And what itself will say to me,
  
  Beguiles the centuries of way!",499,,though i get home how late how late so i get home t will compensate better will be the ecstasy that they have done expecting me when night descending dumb and dark they hear my unexpected knock transporting must the moment be brewed from decades of agony to think just how the fire will burn just how longcheated eyes will turn to wonder what myself will say and what itself will say to me beguiles the centuries of way,419
"  A poor torn heart, a tattered heart,","  A poor torn heart, a tattered heart,
  
  That sat it down to rest,
  
  Nor noticed that the ebbing day
  
  Flowed silver to the west,
  
  Nor noticed night did soft descend
  
  Nor constellation burn,
  
  Intent upon the vision
  
  Of latitudes unknown.
  

  The angels, happening that way,
  
  This dusty heart espied;
  
  Tenderly took it up from toil
  
  And carried it to God.
  
  There, — sandals for the barefoot;
  
  There, — gathered from the gales,
  
  Do the blue havens by the hand
  
  Lead the wandering sails.",539,,a poor torn heart a tattered heart that sat it down to rest nor noticed that the ebbing day flowed silver to the west nor noticed night did soft descend nor constellation burn intent upon the vision of latitudes unknown the angels happening that way this dusty heart espied tenderly took it up from toil and carried it to god there sandals for the barefoot there gathered from the gales do the blue havens by the hand lead the wandering sails,442
"  I should have been too glad, I see,","  I should have been too glad, I see,
  
  Too lifted for the scant degree
  
  Of life's penurious round;
  
  My little circuit would have shamed
  
  This new circumference, have blamed
  
  The homelier time behind.
  

  I should have been too saved, I see,
  
  Too rescued; fear too dim to me
  
  That I could spell the prayer
  
  I knew so perfect yesterday, —
  
  That scalding one, ""Sabachthani,""
  
  Recited fluent here.
  

  Earth would have been too much, I see,
  
  And heaven not enough for me;
  
  I should have had the joy
  
  Without the fear to justify, —
  
  The palm without the Calvary;
  
  So, Saviour, crucify.
  

  Defeat whets victory, they say;
  
  The reefs in old Gethsemane
  
  Endear the shore beyond.
  
  'T is beggars banquets best define;
  
  'T is thirsting vitalizes wine, —
  
  Faith faints to understand.",858,,i should have been too glad i see too lifted for the scant degree of lifes penurious round my little circuit would have shamed this new circumference have blamed the homelier time behind i should have been too saved i see too rescued fear too dim to me that i could spell the prayer i knew so perfect yesterday that scalding one sabachthani recited fluent here earth would have been too much i see and heaven not enough for me i should have had the joy without the fear to justify the palm without the calvary so saviour crucify defeat whets victory they say the reefs in old gethsemane endear the shore beyond t is beggars banquets best define t is thirsting vitalizes wine faith faints to understand,701
"  It tossed and tossed, —","  It tossed and tossed, —
  
  A little brig I knew, —
  
  O'ertook by blast,
  
  It spun and spun,
  
  And groped delirious, for morn.
  

  It slipped and slipped,
  
  As one that drunken stepped;
  
  Its white foot tripped,
  
  Then dropped from sight.
  

  Ah, brig, good-night
  
  To crew and you;
  
  The ocean's heart too smooth, too blue,
  
  To break for you.",378,,it tossed and tossed a little brig i knew oertook by blast it spun and spun and groped delirious for morn it slipped and slipped as one that drunken stepped its white foot tripped then dropped from sight ah brig goodnight to crew and you the oceans heart too smooth too blue to break for you,291
"  Victory comes late,","  Victory comes late,
  
  And is held low to freezing lips
  
  Too rapt with frost
  
  To take it.
  
  How sweet it would have tasted,
  
  Just a drop!
  
  Was God so economical?
  
  His table 's spread too high for us
  
  Unless we dine on tip-toe.
  
  Crumbs fit such little mouths,
  
  Cherries suit robins;
  
  The eagle's golden breakfast
  
  Strangles them.
  
  God keeps his oath to sparrows,
  
  Who of little love
  
  Know how to starve!",461,,victory comes late and is held low to freezing lips too rapt with frost to take it how sweet it would have tasted just a drop was god so economical his table s spread too high for us unless we dine on tiptoe crumbs fit such little mouths cherries suit robins the eagles golden breakfast strangles them god keeps his oath to sparrows who of little love know how to starve,370
"  God gave a loaf to every bird,","  God gave a loaf to every bird,
  
  But just a crumb to me;
  
  I dare not eat it, though I starve, —
  
  My poignant luxury
  
  To own it, touch it, prove the feat
  
  That made the pellet mine, —
  
  Too happy in my sparrow chance
  
  For ampler coveting.
  

  It might be famine all around,
  
  I could not miss an ear,
  
  Such plenty smiles upon my board,
  
  My garner shows so fair.
  
  I wonder how the rich may feel, —
  
  An Indiaman — an Earl?
  
  I deem that I with but a crumb
  
  Am sovereign of them all.",535,,god gave a loaf to every bird but just a crumb to me i dare not eat it though i starve my poignant luxury to own it touch it prove the feat that made the pellet mine too happy in my sparrow chance for ampler coveting it might be famine all around i could not miss an ear such plenty smiles upon my board my garner shows so fair i wonder how the rich may feel an indiaman an earl i deem that i with but a crumb am sovereign of them all,434
  Experiment to me,"  Experiment to me
  
  Is every one I meet.
  
  If it contain a kernel?
  
  The figure of a nut
  

  Presents upon a tree,
  
  Equally plausibly;
  
  But meat within is requisite,
  
  To squirrels and to me.",214,,experiment to me is every one i meet if it contain a kernel the figure of a nut presents upon a tree equally plausibly but meat within is requisite to squirrels and to me,170
"  My country need not change her gown,","  My country need not change her gown,
  
  Her triple suit as sweet
  
  As when 't was cut at Lexington,
  
  And first pronounced ""a fit.""
  

  Great Britain disapproves ""the stars;""
  
  Disparagement discreet, —
  
  There 's something in their attitude
  
  That taunts her bayonet.",289,,my country need not change her gown her triple suit as sweet as when t was cut at lexington and first pronounced a fit great britain disapproves the stars disparagement discreet there s something in their attitude that taunts her bayonet,237
  Faith is a fine invention,"  Faith is a fine invention
  
  For gentlemen who see;
  
  But microscopes are prudent
  
  In an emergency!",110,,faith is a fine invention for gentlemen who see but microscopes are prudent in an emergency,91
"  Except the heaven had come so near,","  Except the heaven had come so near,
  
  So seemed to choose my door,
  
  The distance would not haunt me so;
  
  I had not hoped before.
  

  But just to hear the grace depart
  
  I never thought to see,
  
  Afflicts me with a double loss;
  
  'T is lost, and lost to me.",280,,except the heaven had come so near so seemed to choose my door the distance would not haunt me so i had not hoped before but just to hear the grace depart i never thought to see afflicts me with a double loss t is lost and lost to me,233
  Portraits are to daily faces,"  Portraits are to daily faces
  
  As an evening west
  
  To a fine, pedantic sunshine
  
  In a satin vest.",110,,portraits are to daily faces as an evening west to a fine pedantic sunshine in a satin vest,91
  I took my power in my hand.,"  I took my power in my hand.
  
  And went against the world;
  
  'T was not so much as David had,
  
  But I was twice as bold.
  

  I aimed my pebble, but myself
  
  Was all the one that fell.
  
  Was it Goliath was too large,
  
  Or only I too small?",259,,i took my power in my hand and went against the world t was not so much as david had but i was twice as bold i aimed my pebble but myself was all the one that fell was it goliath was too large or only i too small,212
  A shady friend for torrid days,"  A shady friend for torrid days
  
  Is easier to find
  
  Than one of higher temperature
  
  For frigid hour of mind.
  

  The vane a little to the east
  
  Scares muslin souls away;
  
  If broadcloth breasts are firmer
  
  Than those of organdy,
  

  Who is to blame? The weaver?
  
  Ah! the bewildering thread!
  
  The tapestries of paradise
  
  So notelessly are made!",383,,a shady friend for torrid days is easier to find than one of higher temperature for frigid hour of mind the vane a little to the east scares muslin souls away if broadcloth breasts are firmer than those of organdy who is to blame the weaver ah the bewildering thread the tapestries of paradise so notelessly are made,316
  Each life converges to some centre,"  Each life converges to some centre
  
  Expressed or still;
  
  Exists in every human nature
  
  A goal,
  

  Admitted scarcely to itself, it may be,
  
  Too fair
  
  For credibility's temerity
  
  To dare.
  

  Adored with caution, as a brittle heaven,
  
  To reach
  
  Were hopeless as the rainbow's raiment
  
  To touch,
  

  Yet persevered toward, surer for the distance;
  
  How high
  
  Unto the saints' slow diligence
  
  The sky!
  

  Ungained, it may be, by a life's low venture,
  
  But then,
  
  Eternity enables the endeavoring
  
  Again.",570,,each life converges to some centre expressed or still exists in every human nature a goal admitted scarcely to itself it may be too fair for credibilitys temerity to dare adored with caution as a brittle heaven to reach were hopeless as the rainbows raiment to touch yet persevered toward surer for the distance how high unto the saints slow diligence the sky ungained it may be by a lifes low venture but then eternity enables the endeavoring again,449
"  Before I got my eye put out,","  Before I got my eye put out,
  
  I liked as well to see
  
  As other creatures that have eyes,
  
  And know no other way.
  

  But were it told to me, to-day,
  
  That I might have the sky
  
  For mine, I tell you that my heart
  
  Would split, for size of me.
  

  The meadows mine, the mountains mine, —
  
  All forests, stintless stars,
  
  As much of noon as I could take
  
  Between my finite eyes.
  

  The motions of the dipping birds,
  
  The lightning's jointed road,
  
  For mine to look at when I liked, —
  
  The news would strike me dead!
  

  So safer, guess, with just my soul
  
  Upon the window-pane
  
  Where other creatures put their eyes,
  
  Incautious of the sun.",706,,before i got my eye put out i liked as well to see as other creatures that have eyes and know no other way but were it told to me today that i might have the sky for mine i tell you that my heart would split for size of me the meadows mine the mountains mine all forests stintless stars as much of noon as i could take between my finite eyes the motions of the dipping birds the lightnings jointed road for mine to look at when i liked the news would strike me dead so safer guess with just my soul upon the windowpane where other creatures put their eyes incautious of the sun,577
  Talk with prudence to a beggar,"  Talk with prudence to a beggar
  
  Of 'Potosi' and the mines!
  
  Reverently to the hungry
  
  Of your viands and your wines!
  

  Cautious, hint to any captive
  
  You have passed enfranchised feet!
  
  Anecdotes of air in dungeons
  
  Have sometimes proved deadly sweet!",281,,talk with prudence to a beggar of potosi and the mines reverently to the hungry of your viands and your wines cautious hint to any captive you have passed enfranchised feet anecdotes of air in dungeons have sometimes proved deadly sweet,236
"  He preached upon ""breadth"" till it argued him narrow, —","  He preached upon ""breadth"" till it argued him narrow, —
  
  The broad are too broad to define;
  
  And of ""truth"" until it proclaimed him a liar, —
  
  The truth never flaunted a sign.
  

  Simplicity fled from his counterfeit presence
  
  As gold the pyrites would shun.
  
  What confusion would cover the innocent Jesus
  
  To meet so enabled a man!",360,,he preached upon breadth till it argued him narrow the broad are too broad to define and of truth until it proclaimed him a liar the truth never flaunted a sign simplicity fled from his counterfeit presence as gold the pyrites would shun what confusion would cover the innocent jesus to meet so enabled a man,308
  Good night! which put the candle out?,"  Good night! which put the candle out?
  
  A jealous zephyr, not a doubt.
  
  Ah! friend, you little knew
  
  How long at that celestial wick
  
  The angels labored diligent;
  
  Extinguished, now, for you!
  

  It might have been the lighthouse spark
  
  Some sailor, rowing in the dark,
  
  Had importuned to see!
  
  It might have been the waning lamp
  
  That lit the drummer from the camp
  
  To purer reveille!",428,,good night which put the candle out a jealous zephyr not a doubt ah friend you little knew how long at that celestial wick the angels labored diligent extinguished now for you it might have been the lighthouse spark some sailor rowing in the dark had importuned to see it might have been the waning lamp that lit the drummer from the camp to purer reveille,356
"  When I hoped I feared,","  When I hoped I feared,
  
  Since I hoped I dared;
  
  Everywhere alone
  
  As a church remain;
  
  Spectre cannot harm,
  
  Serpent cannot charm;
  
  He deposes doom,
  
  Who hath suffered him.",202,,when i hoped i feared since i hoped i dared everywhere alone as a church remain spectre cannot harm serpent cannot charm he deposes doom who hath suffered him,158
"  A deed knocks first at thought,","  A deed knocks first at thought,
  
  And then it knocks at will.
  
  That is the manufacturing spot,
  
  And will at home and well.
  

  It then goes out an act,
  
  Or is entombed so still
  
  That only to the ear of God
  
  Its doom is audible.",254,,a deed knocks first at thought and then it knocks at will that is the manufacturing spot and will at home and well it then goes out an act or is entombed so still that only to the ear of god its doom is audible,210
"  Mine enemy is growing old, —","  Mine enemy is growing old, —
  
  I have at last revenge.
  
  The palate of the hate departs;
  
  If any would avenge, —
  

  Let him be quick, the viand flits,
  
  It is a faded meat.
  
  Anger as soon as fed is dead;
  
  'T is starving makes it fat.",259,,mine enemy is growing old i have at last revenge the palate of the hate departs if any would avenge let him be quick the viand flits it is a faded meat anger as soon as fed is dead t is starving makes it fat,207
